# timestamp latitude longitude height roll pitch azimuth north_vel east_vel up_vel obs_timestamp
1785986627547999 44.820513380 89.008656114 495.1030 -0.002835 0.007361 321.871140 1.2254 -1.0959 -0.0056 1785986627547999
1785986627557999 44.820513491 89.008655976 495.1030 -0.003664 0.014051 321.853984 1.2242 -1.0927 -0.0025 1785986627557999
1785986627567999 44.820513601 89.008655838 495.1030 -0.003797 0.020391 321.835078 1.2221 -1.0896 -0.0011 1785986627567999
1785986627573998 44.820513667 89.008655756 495.1030 -0.003877 0.024614 321.823106 1.2201 -1.0877 -0.0009 1785986627573998
1785986627583999 44.820513776 89.008655618 495.1029 -0.004014 0.032704 321.803499 1.2156 -1.0842 -0.0011 1785986627583999
1785986627593999 44.820513885 89.008655481 495.1029 -0.004852 0.041844 321.785642 1.2105 -1.0809 -0.0014 1785986627593999
1785986627605000 44.820514005 89.008655331 495.1029 -0.006929 0.053629 321.769079 1.2055 -1.0774 -0.0004 1785986627605000
1785986627615000 44.820514113 89.008655195 495.1029 -0.009869 0.066093 321.756820 1.2024 -1.0743 0.0012 1785986627615000
1785986627625998 44.820514232 89.008655046 495.1029 -0.014642 0.079993 321.744491 1.2003 -1.0710 0.0013 1785986627625998
1785986627635998 44.820514340 89.008654911 495.1029 -0.020735 0.092279 321.732580 1.1989 -1.0682 -0.0007 1785986627635998
1785986627645998 44.820514397 89.008654792 495.1150 0.026757 -0.032240 321.721517 1.2153 -1.0717 0.0469 1785986627645998
1785986627651998 44.820514463 89.008654711 495.1152 0.021883 -0.025954 321.712070 1.2150 -1.0705 0.0436 1785986627651998
1785986627661998 44.820514572 89.008654575 495.1156 0.013407 -0.016178 321.693874 1.2153 -1.0690 0.0370 1785986627661998
1785986627672999 44.820514692 89.008654427 495.1160 0.004465 -0.005428 321.671930 1.2163 -1.0675 0.0288 1785986627672999
1785986627682999 44.820514802 89.008654292 495.1162 -0.003317 0.003642 321.650582 1.2173 -1.0658 0.0202 1785986627682999
1785986627694000 44.820514922 89.008654144 495.1164 -0.011496 0.012461 321.627097 1.2178 -1.0629 0.0094 1785986627694000
1785986627707998 44.820515076 89.008653956 495.1164 -0.020930 0.023190 321.598677 1.2170 -1.0575 -0.0052 1785986627707998
1785986627718999 44.820515196 89.008653810 495.1163 -0.027769 0.030464 321.578269 1.2152 -1.0522 -0.0163 1785986627718999
1785986627723999 44.820515251 89.008653743 495.1162 -0.031052 0.032545 321.570219 1.2146 -1.0497 -0.0206 1785986627723999
1785986627733999 44.820515360 89.008653611 495.1160 -0.038843 0.034257 321.555519 1.2151 -1.0456 -0.0269 1785986627733999
1785986627743999 44.820515595 89.008653342 495.1149 -0.038826 0.475831 321.532898 1.1887 -1.0192 0.0234 1785986627743999
1785986627754999 44.820515713 89.008653200 495.1151 -0.050212 0.476036 321.516300 1.1915 -1.0158 0.0203 1785986627754999
